ESCOLA,DEPENDENCIA,CATEGORIA,LOCALIZACAO,ENDERECO,CEP,TELEFONE,AREA_VERDE,AUDITORIO,BANHEIRO_PNE,BIBLIOTECA,IN_LABORATORIO_INFORMATICA,PATIO_COBERTO,PARQUE_INFANTIL,QUADRA_ESPORTES,REFEITORIO,RECURSOS_ACESSIBILIDADE,INTERNET_ALUNOS,ALIMENTACAO,ED_INF,ED_FUND,ED_MED,ED_PROF,ED_EJA,ED_ESP
EEM PROF ELZA HENRIQUETA T PACHECO,Estadual,Pública,Urbana,RUA ANTONIO CANDIDO DE FIGUEIREDO - 399 - VILA NOVA,89035310,(47) 33788503,Não,Não,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Não,Sim
ASSOC EDUC E ASSISTENCIAL SHALOM,Privada,Filantrópica,Urbana,RUA PREFEITO FREDERICO BUSCH JUNIOR - 455 - GARCIA,89020400,(47) 33223040,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Sim
EBM PAULINA WAGNER,Municipal,Pública,Urbana,RUA ANNA FELISBINO - 125 - BADENFURT,89070605,(47) 33816402,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
CEI ALBERTO STEIN,Municipal,Pública,Urbana,RUA MARIA BUGMANN - 88 - VELHA,89041380,(47) 33817977,Não,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
ESPACO DE EDUCACAO INFANTIL CONTOS E CORES,Privada,Particular,Urbana,RUA DETLEF PASSIG - 118 - VELHA,89036450,(47) 32884222,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim
CEI HERCILIA KRUG,Municipal,Pública,Urbana,RUA RUI BARBOSA - 1440 - PROGRESSO,89026600,(47) 33816518,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI MARIA SALETE STRAUCH,Municipal,Pública,Urbana,RUA WALDIR MEDEIROS - 213 - AGUA VERDE,89042340,(47) 33816535,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI MAIKE ANDRESEN DEEKE,Municipal,Pública,Urbana,RUA ELKE HANSEN - 107 - BADENFURT,89070160,(47) 33816511,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI FRANZ VOLLES,Municipal,Pública,Urbana,RUA LEONCIO JOAO DESCHAMPS - 163 - ITOUPAVA CENTRAL,89066180,(47) 33816492,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI EMMA TRIBESS,Municipal,Pública,Urbana,RUA HERMANN TRIBESS - 1975 - TRIBESS,89057473,(47) 33816398,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI CILLY JENSEN,Municipal,Pública,Urbana,RUA DOUTOR PEDRO ZIMMERMANN - 9234 - ITOUPAVA CENTRAL,89069001,(47) 33816507,Sim,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI AUGUSTO KOESTER,Municipal,Pública,Urbana,RUA ALMIRANTE BARROSO - 823 - VILA NOVA,89035300,(47) 999670399,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
ESCOLA INF ESPACO SER CRIANCA,Privada,Particular,Urbana,RUA BUENOS AIRES - 223 - PONTA AGUDA,89051050,(47) 32092535,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
CEI PROFESSORA MARTINHA REGIS MORETTO,Municipal,Pública,Urbana,RUA ENGENHEIRO ODEBRECHT - 961 - GARCIA,89021200,(47) 33817974,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI BERTHA MULLER,Municipal,Pública,Urbana,RUA MARIA LARSEN - 22 - SALTO DO NORTE,89065170,(47) 33816504,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
CEI MONTEIRO LOBATO,Municipal,Pública,Urbana,RUA JOSE REUTER - 2590 - VELHA CENTRAL,89046001,(47) 33817090,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
ESCOLA BILINGUE MUNICIPAL PROFESSORA HELLA ALTENBURG,Municipal,Pública,Urbana,RUA PLATANO - 233 - DO SALTO,89031630,(47) 33816528,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
CEI DANIEL BRESSANINI,Municipal,Pública,Urbana,RUA NESIO ANTUNES DA SILVA - 111 - FORTALEZA,89051615,(47) 33816525,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
ESC ESPECIAL PROFESSORA ESTELLA M CAROPRESO,Privada,Filantrópica,Urbana,RUA CASIMIRO DE ABREU - 216 - VILA NOVA,89035600,(47) 33230000,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
CEI DR ARAO REBELLO,Municipal,Pública,Urbana,RUA FRANZ MUELLER - S/N - VELHA GRANDE,89045500,(47) 33816801,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI ROBERT RUDOLPH BARTH,Municipal,Pública,Urbana,RUA CARLOS DUWE - 294 - ITOUPAVAZINHA,89066367,(47) 33816541,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI MAX SCHEIDEMANTEL,Municipal,Pública,Urbana,RUA SOLDADO MARIO LUIZ BERTOLINI - 142 - ITOUPAVA NORTE,89053180,(47) 33816526,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
ALFA REDE DE ENSINO,Privada,Particular,Urbana,RUA FLORNIA - 223 - VELHA,89040190,(47) 30385800,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Sim
CEI PROFESSORA TEREZA A E AUGSBURGER,Municipal,Pública,Urbana,RUA SERGIO VESTRUPP - 113 - ITOUPAVAZINHA,89070531,(47) 33816397,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
CEI PAULO ZIMMERMANN,Municipal,Pública,Urbana,RUA ANDRE DAVI MEES SIMAO - 240 - FIDELIS,89060270,(47) 33816506,Não,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
EBMB PROF JOAO JOAQUIM FRONZA,Municipal,Pública,Urbana,RUA PHILIPP BAULER - 1391 - TESTO SALTO,89074300,(47) 33816216,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EBM WILHELM THEODOR SCHURMANN,Municipal,Pública,Urbana,RUA PEROLA DO VALE - 377 - ITOUPAVA CENTRAL,89062212,(47) 33816505,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
CEJA DE BLUMENAU,Estadual,Pública,Urbana,RUA ENGENHEIRO PAUL WERNER - 608 - ITOUPAVA SECA,89030100,(47) 33788687,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim
CEI WILHELM THEODOR SCHURMANN,Municipal,Pública,Urbana,RUA PEROLA DO VALE - 377 - ITOUPAVA CENTRAL,89062212,(47) 33816910,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
EBM PATRICIA HELENA FINARDI PEGORIM,Municipal,Pública,Urbana,RUA LUIZ KRUTZSCH - 474 - FORTALEZA ALTA,89060069,(47) 33816556,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
CENTRO MUN DE EDUCACAO ALTERNATIVA,Municipal,Pública,Urbana,RUA HUMBERTO DE CAMPOS - 299 - VELHA,89036050,(47) 33816714,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
COLEGIO ENERGIA,Privada,Particular,Urbana,RUA CAPITAO EUCLIDES DE CASTRO - 142 - CENTRO,89010070,(47) 33220033,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim
CEI PROFESSORA ADELIO CARLINI,Municipal,Pública,Urbana,RUA SILVIO ELIAS COELHO - 10 - VELHA GRANDE,89045547,(47) 33816524,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI INGO WOLFGANG HERING,Municipal,Pública,Urbana,RUA BARBACENA - 89 - GARCIA,89020610,(47) 33816473,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI MARITA DEEKE SASSE,Municipal,Pública,Urbana,RUA MARIA BALBINA ZIMMERMANN - 56 - ESCOLA AGRICOLA,89031555,(47) 33816468,Não,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
EBM PROF FRIEDRICH KARL KEMMELMEIER,Municipal,Pública,Urbana,RUA RICARDO GEORG - 1897 - ITOUPAVA CENTRAL,89069100,(47) 33816382,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
CEI PROFESSORA LENYR PEITER STARKE,Municipal,Pública,Urbana,RUA ACACIO BERNARDES - 74 - ITOUPAVA CENTRAL,89068165,(47) 33816395,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
EBM OLGA RUTZEN,Municipal,Pública,Urbana,RUA FREDERICO JENSEN - 1039 - ITOUPAVAZINHA,89066300,(47) 33816406,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
INSTITUTO MAGICO DA APRENDIZAGEM LTDA,Privada,Particular,Urbana,RUA AMAZONAS - 2055 - GARCIA,89021001,(47) 32223681,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
ESCOLA INFANTIL HAPPY KIDS LTDA,Privada,Particular,Urbana,RUA EMILIO NINOW - 67 - ESCOLA AGRICOLA,89031240,(47) 33270472,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
SENAI SC - BLUMENAU,Privada,Particular,Urbana,RUA SAO PAULO - 1147 - ITOUPAVA SECA,89030001,(47) 33219600,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim
CEI PROFESSORA TERESA RAQUEL SABEL DE ARAUJO,Municipal,Pública,Urbana,RUA PASTOR OSWALD HESSE - 1090 - RIBEIRAO FRESCO,89015100,(47) 33816415,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI FREI SILVERIO WEBER,Municipal,Pública,Urbana,RUA ANHAMBI - 33 - ITOUPAVAZINHA,89074540,(47) 33816414,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
EBM LORE SITA BOLLMANN,Municipal,Pública,Urbana,RUA WALTER KNAESEL - 400 - ITOUPAVA CENTRAL,89063060,(47) 33816179,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
CEI EMILIA PISKE,Municipal,Pública,Urbana,RUA HERMANN PISKE - 250 - FORTALEZA ALTA,89058006,(47) 33816393,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI PROFESSOR PAULO FREIRE,Municipal,Pública,Urbana,RUA ERNST KAESTNER - 223 - ITOUPAVA CENTRAL,89068010,(47) 33816530,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI ERWIN PASOLD,Municipal,Pública,Urbana,RUA FRIDA KUPAS - 50 - BADENFURT,89070770,(47) 33816585,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI EDGAR SASSE,Municipal,Pública,Urbana,RUA HIMALAIA - S/N - FORTALEZA ALTA,89058065,(47) 33816533,Não,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI PROF ANDREA DA SILVA,Municipal,Pública,Urbana,RUA ARMIN PAGEL - 158 - ITOUPAVA CENTRAL,89068030,(47) 33816538,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
UNIAO CRISTA ASSOCIACAO SOCIAL E EDUCACIONAL BOM AMIGO,Privada,Filantrópica,Urbana,RUA JOSE DEEKE - 1333 - ESCOLA AGRICOLA,89031401,(47) 33270400,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
SESC - CENTRO DE EDUCACAO INFANTIL,Privada,Particular,Urbana,AVENIDA BRASIL - 514 - PONTA AGUDA,89050000,(47) 33364556,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim
CENTRO DE EDUCACAO INFANTIL ENCANTO E MAGIA,Privada,Particular,Urbana,RUA DA GLORIA - 666 - GLORIA,89025300,(47) 33360278,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim
COLEGIO MENINO JESUS LTDA,Privada,Particular,Urbana,RUA FLORANIA - 350 - VELHA,89040190,(47) 33252369,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
ANJOS DA TERRA ESPACO EDUC INFANTIL LTDA,Privada,Particular,Urbana,RUA JOSE CAETANO BARNI - 115 - AGUA VERDE,89037110,(47) 33349521,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
ESCOLA EXPRESSAO,Privada,Particular,Urbana,RUA ICARA - 111 - ITOUPAVA SECA,89030170,(47) 32373217,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
CEI WALLY SERENA BRANDES,Municipal,Pública,Urbana,RUA VALDEMIRO DIAS - 88 - VELHA,89032337,(47) 33816522,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI PROF MARLISE STRITTHORST THEIS,Municipal,Pública,Urbana,RUA QUINZE DE AGOSTO - 126 - FORTALEZA,89055170,(47) 33816347,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI CARLOS ROHWEDER,Municipal,Pública,Urbana,RUA RICARDO GEORG - 1999 - ITOUPAVA CENTRAL,89069100,(47) 33816548,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
ESCOLA DE ED INFANTIL APLICACAO LTDA,Privada,Particular,Urbana,RUA JOAO PAULO I - 255 - ITOUPAVA NORTE,89052160,(47) 33292249,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Sim
ANJO PROTETOR JARDIM DE INFANCIA LTDA ME,Privada,Particular,Urbana,RUA EWALDO BRUECKHEIMER - 51 - VELHA,89036130,(47) 33269294,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
ESCOLA PEQUENOS ANJOS,Privada,Particular,Urbana,RUA DOUTOR LUIZ DE FREITAS MELRO - 204 - JARDIM BLUMENAU,89010310,(47) 33066229,Sim,Não,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
CEI PROFESSORA EVELINA ELISABETH EICHSTAEDT,Municipal,Pública,Urbana,RUA PROFESSOR MAX HUMPL - 1613 - SALTO DO NORTE,89065501,(47) 33816512,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
PARAISO DA CRIANCA,Privada,Particular,Urbana,RUA IPIRANGA - 137 - GARCIA,89022300,(47) 33242447,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim
COLEGIO POLICIAL MILITAR FELICIANO NUNES PIRES - UNIDADE PEDRO II,Estadual,Pública,Urbana,RUA FLORIANO PEIXOTO -  - JARDIM BLUMENAU,89010325,(47) 32217396,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim
CENTRO DE EDUCACAO INFANTIL DECOLAR,Privada,Particular,Urbana,RUA ARTUR GRAHL - 356 - VELHA CENTRAL,89046120,(47) 32325890,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim
JARDIM DE INFANCIA TIA NANA,Privada,Particular,Urbana,RUA DAS OLIVEIRAS - 65 - PASSO MANSO,89032640,(47) 33236398,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
JARDIM DE INFANCIA TIA NANA II,Privada,Particular,Urbana,RUA ALLOYS DE ZUTTER - 260 - ESCOLA AGRICOLA,89030400,(47) 30376398,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
CEI BAMBOLE,Privada,Particular,Urbana,RUA JEQUIE - 30 - DO SALTO,89030350,(47) 32093404,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Sim
ESCOLA DE EDUCACAO INFANTIL MUNDO MAGICO,Privada,Particular,Urbana,RUA SOROPTIMISTAS - 40 - GARCIA,89021000,(47) 991730476,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não
CENTRO DE EDUCACAO CARINHO DE MAE - UNIDADE 2,Privada,Particular,Urbana,RUA ENGENHEIRO PAUL WERNER - 1194 - ITOUPAVA SECA,89030101,(47) 32853621,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
CENTRO EDUCACIONAL VALENTINO,Privada,Particular,Urbana,RUA GUILHERME SCHARF - 535 - FIDELIS,89060000,(47) 32343775,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
ANJO DE CRISTAL,Privada,Particular,Urbana,RUA TUPINIQUIN - 52 - AGUA VERDE,89042050,(47) 32345402,Sim,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
SESI SC - BLUMENAU II,Privada,Particular,Urbana,RUA SAO PAULO - 1147 - CENTRO,89012000,(47) 33219600,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Sim
ACESSO EDUCACAO,Privada,Particular,Urbana,RUA PARAGUAY - 90 - PONTA AGUDA,89050020,(47) 33406362,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim
CEI JOAO GERVAZ NETO,Municipal,Pública,Urbana,RUA NELSON JOSE BUSARELLO - 286 - AGUA VERDE,89042310,(47) 33817830,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
INSTITUTO TECNOLOGICO ASSESSORITEC,Privada,Particular,Urbana,RUA DOUTOR PEDRO ZIMMERMANN - 6260 - ITOUPAVA CENTRAL,89066000,(47) 34510417,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Sim
CEI CANTINHO DO BOM PASTOR,Privada,Particular,Urbana,RUA DOS CACADORES - 111 - VELHA,89040000,(47) 33300278,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim
CENTRO DE EDUCACAO INFANTIL PE DE MOLEQUE,Privada,Particular,Urbana,RUA AGOBAR BRANCO - 94 - VILA NOVA,89035330,(47) 999870697,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim
ESCOLA DE EDUCACAO INFANTIL DOCE ENCANTO,Privada,Particular,Urbana,RUA HERMANN HUSCHER - 2785 - VALPARAISO,89023001,(47) 991149319,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
ALECRIM DOURADO EDUCACAO INFANTIL,Privada,Particular,Urbana,RUA IRACEMA DA CONCEICAO - 67 - ITOUPAVAZINHA,89066503,(47) 32095300,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
ESCOLA DE EDUCACAO INFANTIL BARNI E FURLAN LTDA,Privada,Particular,Urbana,RUA URUGUAI - 320 - PONTA AGUDA,89050060,(47) 991230707,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim
ESPACO EDUCACIONAL INFANTIL TINDOLELE,Privada,Particular,Urbana,RUA EPITACIO PESSOA - 190 - JARDIM BLUMENAU,89023010,(47) 32341436,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
O NINHO ESPACO EDUCACIONAL,Privada,Particular,Urbana,RUA GUSTAVO BUDAG - 283 - VELHA,89036501,(47) 32127352,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
CENTRO DE EDUCACAO INFANTIL PROFESSORA ELISABETE NUNES ANDERLE,Municipal,Pública,Urbana,RUA ELVIRA BORNHOFEN - 156 - PASSO MANSO,89032464,(47) 33816521,Não,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CENTRO EDUCACIONAL DE JORNADA AMPLIADA DA SECRETARIA MUNICIPAL DE EDUCACAO I - CEMATEPCA I,Municipal,Pública,Urbana,RUA ARARANGUA - 648 - GARCIA,89020300,(47) 33816537,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
CENTRO EDUCACIONAL DE JORNADA AMPLIADA DA SECRETARIA MUNICIPAL DE EDUCACAO II - CEMATEPCA II,Municipal,Pública,Urbana,RUA OTILIA PASSOLD - 36 - VILA ITOUPAVA,89075445,(47) 33816498,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
CENTRO DE EDUCACAO INFANTIL FRUTO DO AMANHA,Privada,Particular,Urbana,RUA SAMUEL MORSE - 152 - FORTALEZA ALTA,89058010,(47) 33392465,Sim,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim
ESPACO EDUCACIONAL AQUARELA LTDA,Privada,Particular,Urbana,RUA JOHANNES RODL - 101 - ITOUPAVA NORTE,89053570,(47) 32320900,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
CENTRO DE EDUCACAO INFANTIL GENTE MIUDA,Privada,Particular,Urbana,RUA IMPERATRIZ LEOPOLDINA - 215 - VELHA,89041200,(47) 991079791,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
EEB SENADOR EVELASIO VIEIRA,Estadual,Pública,Urbana,RUA PROFESSOR JACOB INEICHEN - 445 - ITOUPAVAZINHA,89066600,(47) 33788018,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
COC BLUMENAU,Privada,Particular,Urbana,ALAMEDA RIO BRANCO - 55 - CENTRO,89010015,(47) 35131288,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim
COLEGIO EXCELSIOR,Privada,Particular,Urbana,RUA 11 DE JUNHO - 158 - ITOUPAVA NORTE,89052290,Não informado,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Sim
ESCOLA DE EDUCACAO INFANTIL ENCANTAR LTDA,Privada,Particular,Urbana,RUA PARANAPANEMA - 73 - VELHA,89041170,(47) 30410727,Não,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim
CENTRO EDUCACIONAL NINHO DO SABER LTDA,Privada,Particular,Urbana,RUA LINUS REITER - 250 - VELHA CENTRAL,89040460,(47) 32889215,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim
CEI PASTOR NIRTON DOS SANTOS,Municipal,Pública,Urbana,RUA HERVAL DO OESTE - 48 - VELHA CENTRAL,89040220,(47) 997530283,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
ESCOLA DE EDUCACAO INFANTIL MUNDO DA MAGIA,Privada,Particular,Urbana,RUA GUILHERME LARSEN - 147 - SALTO DO NORTE,89065710,(47) 984269020,Sim,Não,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim
AB KIDS EDUCACAO INFANTIL,Privada,Particular,Urbana,RUA ALICE HERING - 38 - VILA NOVA,89035071,(47) 33090907,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
