ESCOLA,DEPENDENCIA,CATEGORIA,LOCALIZACAO,ENDERECO,CEP,TELEFONE,AREA_VERDE,AUDITORIO,BANHEIRO_PNE,BIBLIOTECA,IN_LABORATORIO_INFORMATICA,PATIO_COBERTO,PARQUE_INFANTIL,QUADRA_ESPORTES,REFEITORIO,RECURSOS_ACESSIBILIDADE,INTERNET_ALUNOS,ALIMENTACAO,ED_INF,ED_FUND,ED_MED,ED_PROF,ED_EJA,ED_ESP
CEI HILCA PIAZERA SCHNAIDER,Municipal,Pública,Urbana,RUA ARNOLDO RUEDIGER - 131 - AGUA VERDE,89037050,(47) 33816141,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI OLGA BREHMER,Municipal,Pública,Urbana,RUA JOSE REUTER - 128 - VELHA CENTRAL,89046000,(47) 33817976,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI BRANDINA BUERGER,Municipal,Pública,Urbana,RUA PAULO EBERHARD - 346 - VALPARAISO,89023060,(47) 33816523,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI DR WILSON GOMES SANTIAGO,Municipal,Pública,Urbana,RUA JOINVILLE - 622 - VILA NOVA,89035200,(47) 33816416,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
PRINCESA ISABEL EDUCACAO INFANTIL UNIDADE ITOUPAVA SECA,Privada,Particular,Urbana,RUA CORONEL FEDDERSEN - 106 - ITOUPAVA SECA,89030400,Não informado,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim
PRINCESA ISABEL EDUCACAO INFANTIL UNIDADE ESCOLA AGRICOLA,Privada,Particular,Urbana,RUA BENJAMIN CONSTANT - 780 - ESCOLA AGRICOLA,89037502,Não informado,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
EBM ALMIRANTE TAMANDARE,Municipal,Pública,Urbana,RUA SANTA FE - 66 - PONTA AGUDA,89050540,(47) 33816152,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EEB CARLOS TECHENTIN,Estadual,Pública,Urbana,RUA BAHIA - 8222 - PASSO MANSO,89032525,(47) 33788670,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim
EBM LEOBERTO LEAL,Municipal,Pública,Urbana,RUA JOHANN SACHSE - 2602 - BADENFURT,89070400,(47) 33816169,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
EBM MACHADO DE ASSIS,Municipal,Pública,Urbana,RUA ENGENHEIRO PAUL WERNER - 1334 - ITOUPAVA SECA,89030101,(47) 33816290,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
